herd,herdSD
Afton,7175.95514628306
Blacktail,6040.73453482062
Clarks Fork,9651.51540298992
Cody,13823.381322815
Fall Creek,1780.32494011463
Gooseberry,4325.87002611293
Greeley,2277.09710099869
Green River,8177.28335047625
Hoback,1851.10819680351
Jackson,7637.66144518988
Madison,2312.86941839077
Mill Creek,1570.59231564684
North Madison,5482.89019291807
Northern,3554.21796731827
Pinedale,3878.28003331802
Piney,6556.23654104884
Sand Creek,8764.36344498896
Silver Run,2611.84598871717
South Wind River,5932.91656812984
Targhee,9471.80575742679
Wiggins Fork,6261.11729355932
